Ref,Val,Package,PosX,PosY,Rot,Side
K44B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,295.275,-80.9625,0,top
K45B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,314.325,-80.9625,0,top
K46B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,333.375,-80.9625,0,top
K47B,KEYSW_RGB,Hybrid_PCB_225H_hotswap_diode_RGB,364.4056,-80.9625,0,top
K51B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,238.125,-100.0125,0,top
K52B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,257.175,-100.0125,0,top
K53B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,276.225,-100.0125,0,top
K54B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,295.275,-100.0125,0,top
K55B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,314.325,-100.0125,0,top
K56B,KEYSW_RGB,Hybrid_PCB_150H_hotswap_diode_RGB_rot,338.138,-100.0125,0,top
K57B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,361.95,-100.0125,0,top
K58B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,381,-100.0125,0,top
K61B,KEYSW_RGB,Hybrid_PCB_200H_hotswap_diode_RGB,222.846386,-137.702962,290,top
K62B,KEYSW_RGB,Hybrid_PCB_200H_hotswap_diode_RGB,240.74753,-131.187478,110,top
K63B,KEYSW_RGB,Hybrid_PCB_125H_hotswap_diode_RGB_rot,273.8435,-119.0625,0,top
K64B,KEYSW_RGB,Hybrid_PCB_125H_hotswap_diode_RGB_rot,297.656,-119.0625,0,top
K65B,KEYSW_RGB,Hybrid_PCB_125H_hotswap_diode_RGB_rot,321.4685,-119.0625,0,top
K66B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,342.9,-119.0625,0,top
K67B,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,361.95,-119.0625,0,top
K68B ,KEYSW_RGB,Hybrid_PCB_100H_hotswap_diode_RGB_rot,381,-119.0625,0,top
R1,R100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,209.7024,-81.1784,180,top
R2,R100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,209.7024,-82.677,180,top
R3,R1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,209.7024,-85.6742,180,top
R5,R1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,209.7024,-84.1756,180,top
