"Source:","C:\Users\Vlad\Documents\keyboard project\kicad\ortho_half\left\ortho_half.sch"
"Date:","8/18/2020 9:17:31 PM"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"4","5","K11, K21, K31, K41, K51","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_150H_hotswap_diode_RGB_rot",""
"5","25","K12, K13, K14, K15, K16, K22, K23, K24, K25, K26, K32, K33, K34, K35, K36, K42, K43, K44, K45, K46, K52, K53, K54, K55, K56","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_100H_hotswap_diode_RGB_rot",""
"6","4","K61, K62, K63, K64","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_125H_hotswap_diode_RGB_rot",""
"7","1","K65","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_200H_hotswap_diode_RGB_rot90B",""
"8","1","K66","KEYSW_RGB","vladkvit_keyb:KEYSW_RGB","vladkvit_keyb:Hybrid_PCB_200H_hotswap_diode_RGB_rot90A",""
"9","3","R1, R2, R4","R100k","pspice:R","Keebio-Parts:Resistor-Hybrid","~"
"10","2","R3, R5","R1k","pspice:R","Keebio-Parts:Resistor-Hybrid","~"
"11","1","Rext1","R20k","pspice:R","Keebio-Parts:Resistor-Hybrid","~"
"12","1","SW1","SW_PUSH_RESET","keyboard_parts:SW_PUSH","Button_Switch_SMD:SW_Push_1P1T_NO_CK_KMR2",""
"13","1","U1","EliteC","vladkvit_keyb:ProMicro","Keebio-Parts:Elite-C-castellated-24pin-holes",""
"14","1","U2","IS31FL3733-TQ","Driver_LED:IS31FL3733-TQ","Package_QFP:TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm","http://www.issi.com/WW/pdf/IS31FL3733.pdf"
